FECHA_CORTE;PER;CONG;NSELV;DOMINIO;ESTRATO;ESTRATOSOCIO;FACTORFINAL_HOGAR;CCDD;NOMBREDD;CCPP;NOMBREPP;CCDI;NOMBREDI;CCCP;NOMBRECP;UBIGEO;VIVIENDA;HOGAR;TOT_HOGAR;RESFIN;RESFIN_O;RESFIN_V;RESFIN_V_O;PERS_NRO;P201;P203;P206;P207;P208;P209;P210_A;P210_M;INF_500;P501_1_1;P501_1_2;P501_2_1;P501_2_2;P501_3_1;P501_3_2;P501_4_1;P501_4_2;P501_5_1;P501_5_2;P501_6_1;P501_6_2;P501_7_1;P501_7_2;PERS_500;P504_A;P504_M;P504A_1;P504A_2;P504A_3;P504A_4;P504A_5;P504A_6;P504A_7;P505;P506;P507;P508;P509;P510;P513;P513A;P513A_O;P514_1;P514_2;P514_3;P515;P516;P517;P517_O;P518A;P518;P519A;P519;P520A;P520;FACTOR200_FINAL
20230426;12;10;161;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;6;1;1;1;;1;;4;4;3;1;2;NA;1;6;NA;2;1;2;1;2;2;NA;1;3;1;2;2;NA;2;NA;4;6;NA;0;0;0;0;0;0;1;7;3;6;6;7;4;6;10;;2;NA;1;1;7;3;;2;NA;2;NA;2;NA;9.151.345.601
20230426;12;10;161;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;6;1;1;1;;1;;5;5;3;1;2;NA;2;2;NA;2;1;2;1;2;2;NA;1;3;1;2;2;NA;2;NA;5;2;NA;0;0;0;0;0;0;1;7;3;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;8.353.299.671
20230426;12;10;176;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;7;1;1;1;;1;;9;9;5;1;2;NA;2;9;NA;7;1;2;1;2;2;NA;2;NA;1;2;2;NA;2;NA;9;9;NA;0;0;0;0;0;0;1;3;2;6;6;7;4;9;10;;2;NA;3;1;3;NA;;2;NA;2;NA;2;NA;8.353.299.671
20230426;12;10;194;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;12;1;1;1;;1;;3;3;3;1;2;NA;1;9;NA;2;2;NA;2;NA;1;5;2;NA;1;2;1;3;2;NA;3;9;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;9;10;;2;NA;3;1;3;NA;;2;NA;2;NA;2;NA;9.151.345.601
20230426;12;10;211;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;8;1;1;1;;1;;6;6;5;1;2;NA;1;8;NA;4;1;2;1;3;2;NA;1;3;1;1;1;3;2;NA;6;8;NA;0;0;0;0;0;0;1;4;1;6;6;7;4;8;10;;2;NA;2;1;3;NA;;2;NA;2;NA;2;NA;9.151.345.601
20230426;12;10;211;1;5;4;1.059.811.516;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;1;ZORRITOS;240201;8;1;1;1;;1;;7;7;5;1;2;NA;1;2;NA;4;1;2;1;3;2;NA;1;3;1;1;1;3;2;NA;7;2;NA;0;0;0;0;0;0;1;7;4;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;9.151.345.601
20230426;8;1401;5;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;1;1;1;1;;1;;3;3;3;1;2;NA;2;5;NA;1;1;2;1;3;1;2;1;2;1;3;1;3;2;NA;3;5;NA;0;0;0;0;0;0;1;7;3;6;6;3;4;5;10;;1;3;NA;2;6;NA;;NA;NA;NA;NA;NA;NA;1.044.162.459
20230426;8;1401;35;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;2;1;1;1;;1;;3;3;3;1;2;NA;1;15;NA;1;1;5;1;4;1;5;1;4;1;4;1;4;2;NA;3;15;NA;0;0;0;0;0;0;1;6;3;6;6;7;4;15;10;;3;4;NA;3;4;NA;;2;NA;2;NA;2;NA;11.439.182
20230426;8;1401;35;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;2;1;1;1;;1;;4;4;3;1;2;NA;1;13;NA;1;1;5;1;4;1;5;1;4;1;4;1;4;2;NA;4;13;NA;0;0;0;0;0;0;1;4;4;6;6;7;4;13;10;;3;2;NA;2;3;NA;;2;NA;1;4;1;4;11.439.182
20230426;8;1401;35;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;2;1;1;1;;1;;6;6;5;1;2;NA;1;2;NA;1;1;5;1;4;1;5;1;4;1;4;1;4;2;NA;6;2;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;11.439.182
20230426;8;1401;92;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;5;1;1;1;;1;;3;3;3;1;2;NA;1;16;NA;2;2;NA;2;NA;2;NA;2;NA;1;2;2;NA;2;NA;3;16;NA;0;0;0;0;0;0;1;3;8;6;6;7;4;16;10;;3;5;NA;2;3;NA;;2;NA;2;NA;2;NA;11.439.182
20230426;8;1401;92;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;5;1;1;1;;1;;4;4;3;1;2;NA;1;11;NA;2;2;NA;2;NA;2;NA;2;NA;1;2;2;NA;2;NA;4;11;NA;0;0;0;0;0;0;1;3;2;6;6;7;4;11;10;;2;NA;5;2;7;2;;2;NA;2;NA;2;NA;11.439.182
20230426;8;1401;134;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;7;1;1;1;;1;;2;2;3;1;2;NA;1;9;NA;1;1;3;1;3;1;4;1;1;1;4;1;1;1;3;2;9;NA;0;0;0;0;0;0;1;3;1;3;2;7;4;9;10;;2;NA;3;2;3;NA;;2;NA;1;4;1;4;11.439.182
20230426;8;1401;134;1;5;3;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;1;ZORRITOS;3;GRAU;240201;7;1;1;1;;1;;3;3;3;1;2;NA;2;1;NA;1;1;3;1;3;1;4;1;1;1;4;1;1;1;3;3;1;NA;0;0;0;0;0;0;1;7;1;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.044.162.459
20230426;8;22;37;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;15;TACNA LIBRE;240202;2;1;1;1;;1;;4;4;3;1;2;NA;2;15;NA;4;1;2;1;2;1;2;1;2;1;1;1;2;1;2;4;15;NA;0;0;0;0;0;0;1;3;2;2;2;2;4;15;10;;3;5;NA;1;1;NA;;1;1;2;NA;2;NA;7.342.857.143
20230426;8;22;40;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;15;TACNA LIBRE;240202;5;1;1;1;;1;;4;4;3;1;2;NA;1;13;NA;1;2;NA;1;4;2;NA;1;4;1;1;1;1;2;NA;4;13;NA;0;0;0;0;0;0;1;3;2;2;2;2;4;13;10;;3;1;NA;2;2;NA;;1;2;3;NA;1;3;7.033.333.333
20230426;8;22;122;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;16;EL PALMO;240202;22;1;1;1;;1;;4;4;5;1;2;NA;1;13;NA;2;1;2;1;2;1;2;1;2;1;2;2;NA;2;NA;4;13;NA;0;0;0;0;0;0;1;1;2;2;2;2;2;13;10;;3;2;NA;1;1;NA;;1;2;2;NA;2;NA;7.033.333.333
20230426;8;22;128;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;16;EL PALMO;240202;9;1;1;1;;1;;3;3;3;1;2;NA;2;10;NA;1;1;2;1;2;1;5;1;4;1;1;2;NA;2;NA;3;10;NA;0;0;0;0;0;0;1;3;2;2;2;7;4;10;10;;2;NA;4;1;1;NA;;1;1;3;NA;3;NA;7.342.857.143
20230426;8;22;128;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;16;EL PALMO;240202;9;1;1;1;;1;;4;4;3;1;2;NA;1;5;NA;1;1;2;1;2;1;5;1;4;1;1;2;NA;2;NA;4;5;NA;0;0;0;0;0;0;1;7;3;3;6;7;4;5;10;;1;3;NA;1;2;NA;;NA;NA;NA;NA;NA;NA;7.033.333.333
20230426;8;22;134;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;17;BELLAVISTA;240202;12;1;1;1;;1;;3;3;3;1;2;NA;2;13;NA;1;1;2;1;2;1;2;1;2;1;1;1;2;1;1;3;13;NA;0;0;0;1;1;0;0;1;2;2;2;7;4;13;10;;3;1;NA;1;3;NA;;2;NA;2;NA;2;NA;7.342.857.143
20230426;8;22;135;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;17;BELLAVISTA;240202;13;1;1;1;;1;;5;5;3;1;2;NA;1;17;NA;5;2;NA;2;NA;2;NA;2;NA;1;1;2;NA;2;NA;5;17;NA;0;0;0;0;0;0;1;1;2;1;6;7;4;17;10;;3;5;NA;1;1;NA;;1;1;2;NA;2;NA;7.033.333.333
20230426;8;22;140;1;7;6;8.440.251.572;24;TUMBES;2;CONTRALMIRANTE VILLAR;2;CASITAS;17;BELLAVISTA;240202;14;1;1;1;;1;;3;3;3;1;2;NA;2;3;NA;1;1;1;1;1;1;4;1;3;2;NA;1;2;2;NA;3;3;NA;0;0;0;0;0;0;1;7;1;6;6;7;4;3;10;;1;1;NA;1;7;2;;NA;NA;NA;NA;NA;NA;7.342.857.143
20230426;8;2501;3;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;1;1;1;1;;1;;3;3;3;1;2;NA;2;14;NA;2;2;NA;2;NA;2;NA;1;3;1;2;2;NA;2;NA;3;14;NA;0;0;0;0;0;0;1;3;2;6;6;7;4;14;10;;3;3;NA;1;7;3;;2;NA;2;NA;2;NA;1.044.162.459
20230426;8;2501;3;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;1;1;1;1;;1;;4;4;3;1;2;NA;1;13;NA;2;2;NA;2;NA;2;NA;1;3;1;2;2;NA;2;NA;4;13;NA;0;0;0;0;0;0;1;3;2;6;4;7;4;13;10;;3;1;NA;1;7;3;;2;NA;2;NA;2;NA;11.439.182
20230426;8;2501;30;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;3;1;1;1;;1;;4;4;3;1;2;NA;2;14;NA;1;2;NA;2;NA;2;NA;1;3;1;2;1;2;2;NA;4;14;NA;0;0;0;0;0;0;1;2;3;6;6;7;4;14;10;;3;2;NA;1;3;NA;;2;NA;2;NA;2;NA;1.044.162.459
20230426;8;2501;30;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;3;1;1;1;;1;;5;5;3;1;2;NA;1;9;NA;1;2;NA;2;NA;2;NA;1;3;1;2;1;2;2;NA;5;9;NA;0;0;0;0;0;0;1;7;3;6;6;7;4;9;10;;2;NA;4;1;7;4;;2;NA;2;NA;2;NA;11.439.182
20230426;8;2501;65;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;5;1;1;1;;1;;3;3;3;1;2;NA;1;11;NA;1;1;2;1;3;2;NA;1;3;1;2;1;2;2;NA;3;11;NA;0;0;0;0;0;0;1;3;3;6;3;7;4;11;10;;2;NA;6;1;3;NA;;2;NA;2;NA;2;NA;11.439.182
20230426;8;2501;65;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;5;1;1;1;;1;;4;4;3;1;2;NA;1;7;NA;1;1;2;1;3;2;NA;1;3;1;2;1;2;2;NA;4;7;NA;0;0;0;0;0;0;1;4;8;6;6;7;4;7;10;;2;NA;1;1;7;3;;2;NA;2;NA;2;NA;11.439.182
20230426;8;2501;65;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;5;1;1;1;;1;;5;5;3;1;2;NA;1;4;NA;1;1;2;1;3;2;NA;1;3;1;2;1;2;2;NA;5;4;NA;0;0;0;0;0;0;1;7;3;6;6;7;4;4;10;;1;1;NA;1;3;NA;;NA;NA;NA;NA;NA;NA;11.439.182
20230426;8;2501;65;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;5;1;1;1;;1;;6;6;3;1;2;NA;2;2;NA;1;1;2;1;3;2;NA;1;3;1;2;1;2;2;NA;6;2;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.044.162.459
20230426;8;2501;65;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;5;1;1;1;;1;;7;7;3;1;2;NA;1;NA;9;1;1;2;1;3;2;NA;1;3;1;2;1;2;2;NA;7;NA;9;0;0;0;0;0;0;1;7;8;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;11.439.182
20230426;8;2501;86;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;6;1;1;1;;1;;3;3;3;1;2;NA;2;11;NA;2;1;1;2;NA;2;NA;1;2;1;1;1;3;2;NA;3;11;NA;0;0;0;0;0;0;1;7;2;6;6;7;4;11;10;;2;NA;5;1;7;3;;2;NA;2;NA;2;NA;1.044.162.459
20230426;8;2501;86;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;6;1;1;1;;1;;4;4;3;1;2;NA;2;8;NA;2;1;1;2;NA;2;NA;1;2;1;1;1;3;2;NA;4;8;NA;0;0;0;0;0;0;1;7;2;6;6;7;4;8;10;;2;NA;3;1;7;3;;2;NA;2;NA;2;NA;1.044.162.459
20230426;8;2501;86;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;6;1;1;1;;1;;5;5;3;1;2;NA;2;5;NA;2;1;1;2;NA;2;NA;1;2;1;1;1;3;2;NA;5;5;NA;0;0;0;1;0;0;0;7;8;6;6;7;4;5;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.044.162.459
20230426;8;2501;93;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;7;1;1;1;;1;;3;3;3;1;2;NA;1;14;NA;1;2;NA;2;NA;2;NA;1;3;2;NA;2;NA;2;NA;3;14;NA;0;0;0;0;0;0;1;2;2;6;4;7;5;14;10;;3;3;NA;1;8;NA;;2;NA;2;NA;2;NA;11.439.182
20230426;8;2501;93;1;5;5;1.324.764.395;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;7;1;1;1;;1;;4;4;3;1;2;NA;1;17;NA;1;2;NA;2;NA;2;NA;1;3;2;NA;2;NA;2;NA;4;17;NA;0;0;0;0;0;0;1;2;8;6;6;7;4;17;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;11.439.182
20230426;4;2601;6;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;1;1;1;1;;1;;3;3;3;1;2;NA;1;17;NA;2;1;1;1;2;1;5;1;3;1;1;1;3;2;NA;3;17;NA;0;0;0;0;0;0;1;2;1;2;2;7;4;17;10;;6;1;NA;1;4;NA;;2;NA;2;NA;2;NA;1.307.335.086
20230426;4;2601;6;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;1;1;1;1;;1;;4;4;3;1;2;NA;2;11;NA;2;1;1;1;2;1;5;1;3;1;1;1;3;2;NA;4;11;NA;0;0;0;0;0;0;1;3;2;2;2;7;4;11;10;;2;NA;5;1;7;2;;2;NA;2;NA;1;3;1.193.328.524
20230426;4;2601;23;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;2;1;1;1;;1;;2;2;3;1;2;NA;2;13;NA;1;1;2;2;NA;1;4;2;NA;2;NA;2;NA;2;NA;2;13;NA;0;0;0;0;0;0;1;1;5;6;6;8;4;13;10;;3;2;NA;1;7;5;PREFIERE BUSCAR LECTURAS EN SU CASA;2;NA;2;NA;2;NA;1.193.328.524
20230426;4;2601;23;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;2;1;1;1;;1;;3;3;3;1;2;NA;1;3;NA;1;1;2;2;NA;1;4;2;NA;2;NA;2;NA;2;NA;3;3;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;3;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.307.335.086
20230426;4;2601;35;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;3;1;1;2;;2;;7;7;3;1;2;NA;2;16;NA;2;1;3;1;3;2;NA;2;NA;1;3;2;NA;2;NA;7;16;NA;0;0;0;0;0;0;1;4;3;4;3;7;3;16;10;;3;4;NA;3;3;NA;;1;4;2;NA;2;NA;1.193.328.524
20230426;4;2601;58;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;4;1;1;1;;1;;3;3;3;1;2;NA;1;11;NA;1;2;NA;2;NA;2;NA;2;NA;1;4;2;NA;1;3;3;11;NA;0;0;0;1;0;0;0;4;4;6;6;7;4;11;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.307.335.086
20230426;4;2601;58;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;4;1;1;1;;1;;4;4;3;1;2;NA;2;7;NA;1;2;NA;2;NA;2;NA;2;NA;1;4;2;NA;1;3;4;7;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;7;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.193.328.524
20230426;4;2601;58;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;4;1;1;1;;1;;5;5;3;1;2;NA;1;5;NA;1;2;NA;2;NA;2;NA;2;NA;1;4;2;NA;1;3;5;5;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;5;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.307.335.086
20230426;4;2601;58;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;4;1;1;1;;1;;6;6;3;1;2;NA;1;NA;1;1;2;NA;2;NA;2;NA;2;NA;1;4;2;NA;1;3;6;NA;1;0;0;0;0;0;0;1;7;8;6;6;7;4;NA;NA;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.307.335.086
20230426;4;2601;58;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;4;1;1;1;;1;;8;8;7;1;2;NA;1;17;NA;1;2;NA;2;NA;2;NA;2;NA;1;4;2;NA;1;3;8;17;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;17;10;;8;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;1.307.335.086
20230426;4;2601;129;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;8;1;1;1;;1;;3;3;3;1;2;NA;1;12;NA;2;1;4;1;3;1;3;2;NA;1;3;1;2;1;2;3;12;NA;0;0;0;0;0;0;1;7;3;6;6;7;4;12;10;;2;NA;6;3;7;2;;2;NA;2;NA;2;NA;1.307.335.086
20230426;4;2601;129;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;8;1;1;1;;1;;4;4;3;1;2;NA;1;10;NA;2;1;4;1;3;1;3;2;NA;1;3;1;2;1;2;4;10;NA;0;0;0;0;0;0;1;7;8;6;6;7;4;10;10;;2;NA;4;2;7;2;;2;NA;2;NA;2;NA;1.307.335.086
20230426;4;2601;129;1;5;4;1.514.016.451;24;TUMBES;2;CONTRALMIRANTE VILLAR;3;CANOAS DE PUNTA SAL;1;CANCAS;240203;8;1;1;1;;1;;5;5;3;1;2;NA;1;7;NA;2;1;4;1;3;1;3;2;NA;1;3;1;2;1;2;5;7;NA;1;0;1;1;1;1;0;7;5;6;6;7;4;7;14;;2;NA;2;3;7;2;;2;NA;2;NA;2;NA;1.307.335.086
